song,moods,arousal,valence
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/22-6r7uCTrCK4tpznfZxUYmLv- Kyle Bobby Dunn - An Extension.mp3,"['background', 'calm', 'dream', 'happy', 'hopeful', 'inspiring', 'meditative', 'nature', 'positive', 'relaxing', 'soft', 'soundscape', 'space', 'uplifting']",2.2820470333099365,4.194962501525879
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/44-6jA7lNasRwcgx0eLuwwCji- Black Moth Super Rainbow - Sad Branch.mp3,"['calm', 'cool', 'dream', 'emotional', 'meditative', 'nature', 'relaxing', 'sad', 'soft', 'soundscape', 'space']",2.6301779747009277,3.9546830654144287
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/19-6tuU2IcYZaAkYBRXBbmosn- Tim Hecker - Sketch 1.mp3,"['calm', 'documentary', 'drama', 'dramatic', 'dream', 'emotional', 'hopeful', 'inspiring', 'meditative', 'melancholic', 'nature', 'relaxing', 'romantic', 'sad', 'soft', 'space']",2.802656888961792,3.9372496604919434
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/11-1u4qLLYs866O1PArVR5pPs- Casino Versus Japan - Aquarium.mp3,"['calm', 'cool', 'dream', 'emotional', 'meditative', 'nature', 'relaxing', 'sad', 'soundscape', 'space', 'uplifting']",2.512115955352783,3.656484842300415
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/45-6CpxBjTJ9HWhk1mp5D408K- Woo - It's Love.mp3,"['ballad', 'calm', 'cool', 'documentary', 'drama', 'dream', 'emotional', 'film', 'hopeful', 'inspiring', 'meditative', 'melancholic', 'movie', 'nature', 'relaxing', 'soft', 'soundscape', 'travel']",3.737879753112793,5.3788838386535645
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/24-43kIdtVGy6l5207N9UgHRF- A Winged Victory for the Sullen - Requiem for the Static King Part 1.mp3,"['background', 'calm', 'dream', 'emotional', 'meditative', 'nature', 'relaxing', 'soundscape', 'space']",2.5169217586517334,4.00955057144165
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/49-4hBHEKTKdpGtP1AzsjNR8l- Laraaji - Essence.mp3,"['background', 'calm', 'cool', 'dream', 'emotional', 'hopeful', 'meditative', 'nature', 'relaxing', 'soft', 'soundscape', 'space', 'uplifting']",3.5636565685272217,5.401873588562012
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/50-2Bc4llhjJBW77I552RgA3L- Aphex Twin - #3.mp3,"['calm', 'dream', 'emotional', 'meditative', 'melancholic', 'nature', 'relaxing', 'sad', 'soft', 'soundscape', 'space']",1.9555405378341675,3.0999300479888916
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/23-447hHD4l6pNK2SOYL48cvj- Marielle V Jakobsons - The Sinking of the Sky.mp3,"['calm', 'dream', 'emotional', 'meditative', 'nature', 'relaxing', 'sad', 'slow', 'soft', 'soundscape', 'space']",2.2237095832824707,3.1484177112579346
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/46-7xYLEZXCalDXivom5Q7fwS- Mercedes Sosa - Gracias A La Vida.mp3,"['calm', 'dream', 'emotional', 'inspiring', 'meditative', 'melancholic', 'nature', 'relaxing', 'sad', 'soft', 'soundscape', 'space']",2.6120924949645996,3.833332061767578
"/Users/jsgomezc/Data/psilocybin/audio/imperial2/25-5UkoY7q4vOkBOwDtqrmU43- Ola Gjeilo, Tenebrae, The Chamber Orchestra Of London - The Spheres.mp3","['calm', 'dream', 'emotional', 'meditative', 'melancholic', 'nature', 'relaxing', 'sad', 'soundscape', 'space']",2.457332134246826,3.1229045391082764
"/Users/jsgomezc/Data/psilocybin/audio/imperial2/12-6ddGX5lFHia1t32XBR3qhi- Jóhann Jóhannsson, Hildur Guðnadóttir, Air Lyndhurst String Orchestra, Anthony Weeden - Good Night, Day.mp3","['calm', 'dream', 'emotional', 'meditative', 'melancholic', 'nature', 'relaxing', 'sad', 'slow', 'soft', 'soundscape', 'space']",2.099928617477417,3.144671678543091
