#,playlist,Song,Artist,Time,BPM,Genres,Parent Genres,Album,Album Date,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC,Duration (s),Duration (m),Duration,phase,process?,link
56,compass_v2,Above the Mountain,Parijat,9.1,84,new age,New age,Journey Home,4/1/16,32,12,89,84,4,0,10,-16,G Minor,3,3/30/25,6ursrZhESZrfQEZeJFuuHq,Parijat,6A,uscgj1636471,549,9.150,0:09:09,return,TRUE,https://open.spotify.com/track/6ursrZhESZrfQEZeJFuuHq
57,compass_v2,Grace,"Lars Danielsson,Mathias Eick,Dominic Miller",3.1,136,"jazz,",Jazz,Magic Moments 7  Sounds of Surprise,9/26/14,42,5,99,92,21,0,10,-19,G Minor,4,3/30/25,0kT8kcQ4D0H5AYOjGNyBQW,ACT Music,6A,DEA891400460,188,3.133,0:03:08,return,TRUE,https://open.spotify.com/track/0kT8kcQ4D0H5AYOjGNyBQW
58,compass_v2,Blessed We Are,Parijat,6.2,117,new age,New age,Journey Home,4/1/16,38,17,97,87,7,0,10,-22,B Minor,4,3/30/25,2QT6vFXv8HklQE7VjUxtd2,Parijat,10A,uscgj1636470,370,6.167,0:06:10,return,TRUE,https://open.spotify.com/track/2QT6vFXv8HklQE7VjUxtd2
59,compass_v2,A Thousand Years,Sting,6,82,soft rock,Rock,Brand New Day,1/1/99,61,44,37,6,33,0,10,-10,C♯/D♭ Major,4,3/30/25,4zYdvcaguqCfG5IcRLpfd4,A&M,3B,USIR19902521,358,5.967,0:05:58,return,TRUE,https://open.spotify.com/track/4zYdvcaguqCfG5IcRLpfd4
60,compass_v2,Circle of Love,Parijat,5.5,98,new age,New age,Journey Home,4/1/16,51,17,94,89,25,0,10,-23,B Minor,4,3/30/25,7cRPC09ucdMnGnNEmAd2lM,Parijat,10A,uscgj1636477,329,5.483,0:05:29,return,TRUE,https://open.spotify.com/track/7cRPC09ucdMnGnNEmAd2lM
61,compass_v2,Fields Of Gold,Eva Cassidy,4.7,80,,,Songbird,1998-00-00,46,9,97,0,31,0,0,-15,A Major,4,3/30/25,5vtOJrmovXGxGsnAck694H,Blix Street Records,11B,USA449845001,282,4.700,0:04:42,return,TRUE,https://open.spotify.com/track/5vtOJrmovXGxGsnAck694H
62,compass_v2,The Peacocks,"Cava Menzies,Nick Phillips,Jeff Chambers,Jaz Sawyer",6.8,98,,,Moment to Moment,1/21/14,36,24,95,28,12,0,10,-13,A#/B♭ Minor,4,3/30/25,3di8wlOUIwzaIEKFrbIbOW,Nick Phillips Music,3A,QMDA61337667,406,6.767,0:06:46,return,TRUE,https://open.spotify.com/track/3di8wlOUIwzaIEKFrbIbOW
63,compass_v2,Mal's Moon,"Cava Menzies,Nick Phillips,Jeff Chambers,Jaz Sawyer",7,98,,,Moment to Moment,1/21/14,40,22,96,94,7,0,10,-14,D Minor,4,3/30/25,08qBK1znWkPHIkpaYrgKlp,Nick Phillips Music,7A,QMDA61337668,422,7.033,0:07:02,return,TRUE,https://open.spotify.com/track/08qBK1znWkPHIkpaYrgKlp
64,compass_v2,For All We Know - 192/24,"Cava Menzies,Nick Phillips,Jeff Chambers,Jaz Sawyer",8,122,,,Moment to Moment (192/24),2014-00-00,40,24,97,91,6,0,10,-14,D#/E♭ Major,4,3/30/25,4kgBXNBj0TKGyDPuhZu4fC,Nick Phillips Music,5B,QMDA61337669,479,7.983,0:07:59,return,TRUE,https://open.spotify.com/track/4kgBXNBj0TKGyDPuhZu4fC
65,compass_v2,You,"Cava Menzies,Nick Phillips,Jeff Chambers,Jaz Sawyer",5.9,102,,,Moment to Moment,1/21/14,45,25,97,86,15,0,10,-15,A Minor,4,3/30/25,2JOi0BCPqtAIP5znpQCTFg,Nick Phillips Music,8A,QMDA61337670,352,5.867,0:05:52,return,TRUE,https://open.spotify.com/track/2JOi0BCPqtAIP5znpQCTFg
